TRDAR_NO,TRDAR_NM,SIGNGU_CD,SIGNGU_NM,LINK_CNT,MINM_TXTR,MAX_TXTR,AVE_TXTR,DIFF_TXTR
9552,병영1동,31110,중구,48,138.2,5068.4,2023.7,3044.7
9553,중앙동,31110,중구,75,329.8,9557.6,3083.1,6474.5
9554,태화동 태화 종합시장,31110,중구,32,1108.7,6584,2968.4,3615.6
9555,울산대공원정문,31140,남구,136,9.9,3565.7,562,3003.7
9556,영산면,48740,창녕군,56,10.2,277.5,88.8,188.7
9557,창녕읍,48740,창녕군,82,97.2,986,404.7,581.3
9572,거창읍_1,48880,거창군,56,50.8,976.9,360.8,616.1
9573,거창읍_2,48880,거창군,36,186.1,1516.4,645.9,870.5
9574,남해군청,48840,남해군,34,62.9,1433.6,693.4,740.2
9575,벌리동,48240,사천시,134,76.9,2209.6,483.8,1725.8
9576,사천읍,48240,사천시,136,41.7,1809.5,431,1378.5
9577,중앙로,48240,사천시,90,12.8,2413.1,680.9,1732.2
9578,산청읍,48860,산청군,43,2.4,204.3,50.3,154
9579,의령읍,48720,의령군,104,3.1,319.1,86.8,232.3
9580,가호동,48170,진주시,60,0.4,2674.5,550.8,2123.7
9581,상대1동,48170,진주시,40,406.5,3635.8,1651.2,1984.6
9582,중앙동,48170,진주시,118,11.6,7914.3,1814.7,6099.6
9583,평거동,48170,진주시,138,11.7,2602.7,713.1,1889.6
9584,하대동,48170,진주시,32,98,4384.5,1529.1,2855.4
9585,하동공설시장,48850,하동군,32,3.6,1172.2,233.7,938.5
9586,함양군청,48870,함양군,125,4.4,1334.9,234.4,1100.5
9587,합천시외버스터미널,48890,합천군,164,0.9,490.1,106.2,383.9
9588,가야대학교 앞,48250,김해시,301,5.1,1561.5,247.4,1314.1
9589,김해시청,48250,김해시,70,77.8,6905.7,1515.7,5390
9590,내외동,48250,김해시,61,376.3,3548.1,1294.9,2253.2
9591,삼안동,48250,김해시,86,46.3,4617,888,3729
9592,진영읍,48250,김해시,346,2.7,1200.2,124.8,1075.4
9593,회현동,48250,김해시,50,42.3,6905.7,1466.7,5439
9594,덕계동,48330,양산시,106,13.6,1062.3,242.4,819.9
9595,물급읍,48330,양산시,209,5.3,2814.3,419,2395.3
9597,서창동,48330,양산시,100,9.3,1144.5,325.3,819.2
9598,양산역,48330,양산시,248,4.9,5070.9,425.1,4645.8
9599,중앙동,48330,양산시,76,7.3,3042.1,751,2291.1
9600,고현시외버스터미널,48310,거제시,59,2.2,3631.3,1085,2546.3
9601,옥포여객터미널,48310,거제시,62,11.5,2087.6,677.4,1410.2
9602,고성군청,48820,고성군,68,71.5,1016.7,428.9,587.8
9603,강구안,48220,통영시,54,793.9,5631.2,2508.6,3122.6
9604,통영시청 제2청사,48220,통영시,276,10.7,7888.4,920.1,6968.3
9605,통영종합버스터미널,48220,통영시,114,70.3,2669.3,800.3,1869
9606,성당못역_1,27200,남구,29,277.2,3343.2,1776.8,1566.4
9607,성당못역_2,27200,남구,18,552.2,3343.2,2080.2,1263
9608,성당못역_3,27290,달서구,42,341.7,3343.2,1562.8,1780.4
9609,감삼역,27290,달서구,20,535.4,4458.6,2241.6,2217
9610,계명대,27290,달서구,21,494.4,1595.8,887.4,708.4
9611,도원동,27290,달서구,28,185.4,963.9,471.4,492.5
9612,상인역_1,27290,달서구,34,47.4,3731.2,1138.5,2592.7
9613,상인역_2,27290,달서구,38,47.4,3731.2,1040.1,2691.1
9614,성서산업단지역_1,27290,달서구,80,28.4,1837.1,550.1,1287
9615,성서산업단지역_2,27290,달서구,66,58.9,1060.7,362.1,698.6
9616,성서산업단지역_3,27290,달서구,68,28.4,1060.7,400.3,660.4
9617,신당동,27290,달서구,129,24.4,586.8,213.4,373.4
9618,장기동,27290,달서구,54,1.2,1963.3,266.4,1696.9
9619,칠성시장역,27230,북구,64,92.7,2880.4,1036.7,1843.7
9620,대신동_1,27110,중구,26,282.1,2305.1,1216.3,1088.8
9621,대신동_2,27110,중구,32,25.7,2305.1,844.1,1461
9622,성내3동,27110,중구,62,25.7,3671.9,951.7,2720.2
9623,중앙로역_1,27110,중구,61,122.5,3423.2,1479.3,1943.9
9624,중앙로역_2,27110,중구,90,80.3,5032.5,1778.5,3254
9625,중앙로역_3,27110,중구,88,68.6,4218.2,1391,2827.2
9626,중앙로역_4,27110,중구,90,10.1,3671.9,1046.1,2625.8
9627,각산역,27140,동구,77,1.8,639.6,144.5,495.1
9629,동대구역,27140,동구,139,79.2,4561.9,1360.3,3201.6
9630,신암3동,27140,동구,6,1186.6,3623.8,2580.6,1043.2
9632,효목2동_1,27140,동구,28,46.7,3450.2,1077.2,2373
9633,효목2동_2,27140,동구,22,56.3,2331.1,1244.1,1087
9634,노원동,27230,북구,28,125.8,2144.6,945.8,1198.8
9635,동천동,27230,북구,172,13.5,969.9,277.1,692.8
9636,산격2동_1,27230,북구,94,3.2,1275.8,119.9,1155.9
9637,산격2동_2,27230,북구,79,1.3,1075.6,114,961.6
9638,산격3동,27230,북구,14,571,2226.7,1244.5,982.2
9639,읍내동,27230,북구,64,34.2,2009.5,378.4,1631.1
9640,태전1동_1,27230,북구,36,38.7,1801.7,484,1317.7
9641,태전1동_2,27230,북구,54,13.1,1801.7,563.5,1238.2
9642,지산1동,27260,수성구,102,7.5,853.9,229.8,624.1
9643,황금2동,27260,수성구,22,856.5,2617.4,1849.4,768
9644,담티역,27260,수성구,28,73.6,1922.3,650.8,1271.5
9645,범어역,27260,수성구,136,54.4,2987.7,1174.1,1813.6
9646,수성구청역,27260,수성구,30,205.9,2126.1,1142.3,983.8
9647,신매역,27260,수성구,66,27.3,1367.4,435.5,931.9
9648,봉무동,27140,동구,126,4.2,808.9,131.3,677.6
9649,봉화읍,47920,봉화군,30,76.8,853.4,246.9,606.5
9650,안동시청_1,47170,안동시,85,97,1026.2,403.4,622.8
9651,안동시청_2,47170,안동시,92,110,1026.2,342.5,683.7
9652,옥동_1,47170,안동시,145,16.2,1372.8,243.7,1129.1
9653,옥동_2,47170,안동시,161,11.3,1372.8,223.9,1148.9
9654,영양군보건소,47760,영양군,44,9,478.6,91.7,386.9
9655,영주역,47210,영주시,24,270.2,2464.1,1147.5,1316.6
9656,풍기읍,47210,영주시,38,4.1,194.3,90.1,104.2
9657,하망동,47210,영주시,62,249.8,2455.4,1063.6,1391.8
9658,예천군청,47900,예천군,40,22.4,616.8,229.6,387.2
9659,의성역,47730,의성군,58,23.5,880.8,269.4,611.4
9660,고령시외버스터미널,47830,고령군,79,0.1,85.7,16.1,69.6
9661,구미시청,47190,구미시,30,64.5,602.3,224.1,378.2
9662,구미역_1,47190,구미시,62,81.9,1662,396.9,1265.1
9663,구미역_2,47190,구미시,82,63.8,1662,335.5,1326.5
9664,상모사곡동,47190,구미시,46,51.3,458.9,156.1,302.8
9665,선산읍,47190,구미시,108,0.1,63.1,14.3,48.8
9666,선주원남동_2,47190,구미시,51,56.5,394.7,182.6,212.1
9667,선주원남동_3,47190,구미시,31,75.9,394.7,236.2,158.5
9668,신평1동_1,47190,구미시,31,88.3,578.6,280.6,298
9669,양포동_1,47190,구미시,78,0.7,330.8,58.3,272.5
9670,양포동_2,47190,구미시,160,2.4,1108.3,134.1,974.2
9671,인동동,47190,구미시,52,60,1642.4,594.5,1047.9
9672,임수동 공구상가,47190,구미시,74,5.8,814,189.4,624.6
9673,진미동,47190,구미시,34,38.4,1012.2,455.5,556.7
9674,형곡1동,47190,구미시,38,33.6,660.7,303.9,356.8
9675,군위군법원,47720,군위군,52,0.3,14,3.6,10.4
9676,김천역,47150,김천시,64,21.5,3858.3,1122.2,2736.1
9677,자산동,47150,김천시,34,312.9,1349,764.4,584.6
9678,동문동,47250,상주시,92,51.7,2245.6,871.7,1373.9
9679,성주시외버스터미널,47840,성주군,50,41.8,261.7,108.6,153.1
9680,석적읍,47850,칠곡군,215,1.7,240.8,31.5,209.3
9681,영덕읍,47770,영덕군,68,4.2,189.2,62.5,126.7
9682,영해면,47770,영덕군,43,8.6,290.6,78.3,212.3
9683,울진군청,47930,울진군,54,30.9,1322.3,272.7,1049.6
9684,죽변면,47930,울진군,24,3.8,477.2,155.7,321.5
9685,구룡포읍,47111,포항시 남구,24,48.3,994.3,395.2,599.1
9686,대이동,47111,포항시 남구,40,288.7,2950.6,1055.2,1895.4
9687,두호동,47113,포항시 북구,26,344.8,4662.1,2109.1,2553
9688,오거리,47113,포항시 북구,36,329.8,5588.8,2319,3269.8
9689,오천읍,47111,포항시 남구,229,2.4,1328,265.6,1062.4
9690,죽도동,47111,포항시 남구,33,883.5,5438.8,2180.2,3258.6
9691,죽도시장,47113,포항시 북구,81,296.8,5588.8,2109.5,3479.3
9692,중앙상가,47113,포항시 북구,71,117.7,5588.8,2276.8,3312
9693,양덕동,47113,포항시 북구,255,25.4,1447.3,304.8,1142.5
9694,남부시장,47111,포항시 남구,25,576.9,3519,1749.5,1769.5
9695,포항시청,47111,포항시 남구,126,3.4,1789.5,245.3,1544.2
9696,효자동_1,47111,포항시 남구,109,2.9,1552.3,358,1194.3
9697,효자동_2,47111,포항시 남구,43,36.3,1552.3,564.5,987.8
9698,남부동,47290,경산시,78,0.1,265,48,217
9699,영남대역,47290,경산시,46,72.7,1013.1,389.8,623.3
9700,중앙동,47290,경산시,52,19.8,665.5,276.5,389
9701,진량읍,47290,경산시,257,0.3,295.5,36.6,258.9
9702,하양읍,47290,경산시,58,1.3,547.7,142.4,405.3
9703,경주시청,47130,경주시,70,46.7,3119.3,784.3,2335
9704,경주역,47130,경주시,166,61.1,4129.1,1080.8,3048.3
9705,안강읍_1,47130,경주시,78,1.6,286,53.1,232.9
9706,안강읍_2,47130,경주시,42,12.1,444.5,89.3,355.2
9707,용강동,47130,경주시,38,50.8,1374.9,434.3,940.6
9708,황성동,47130,경주시,28,118.2,2330.8,1144,1186.8
9709,영천역,47230,영천시,130,4,1311.5,419.3,892.2
9710,청도역,47820,청도군,33,13.8,605.6,255.8,349.8
9711,경산시외버스터미널,47290,경산시,20,19.8,665.5,356.5,309
9712,봉선지구,29155,남구,84,2.6,649.2,182.8,466.4
9713,상무지구_1,29140,서구,126,45.1,2954.1,851,2103.1
9714,광천동,29140,서구,68,31.7,4279.8,1190.2,3089.6
9715,금호1동,29140,서구,165,0.9,1262.3,245.1,1017.2
9716,서부농수산물도매시장,29140,서구,150,2.4,1000.1,146.2,853.9
9717,양동시장,29140,서구,50,67,1792.2,620.4,1171.8
9718,상무지구_2,29140,서구,136,60.1,1676.6,599.6,1077
9719,LC타워,29200,광산구,122,4.4,1556.8,485.8,1071
9720,송정역,29200,광산구,48,48.4,4777.1,1038.3,3738.8
9721,수완동_1,29200,광산구,270,0.3,2865.8,170.1,2695.7
9722,신창동,29200,광산구,262,1.5,1263.6,156.8,1106.8
9723,첨단1동주민센터,29200,광산구,108,4.4,1556.8,414.9,1141.9
9724,첨단2동,29200,광산구,156,4.4,1556.8,398.7,1158.1
9725,첨단CGV,29200,광산구,145,4.4,1457.6,333.3,1124.3
9726,하남,29200,광산구,123,14.2,3649.1,674.7,2974.4
9727,수완동_2,29200,광산구,289,2.9,2865.8,208.2,2657.6
9728,선운지구,29200,광산구,168,0.1,861.8,95.6,766.2
9729,흑석사거리,29200,광산구,176,1.2,1275.1,224.1,1051
9730,금남로4가역_1,29110,동구,32,17.3,3219,1244.9,1974.1
9731,금남로4가역_2,29110,동구,42,45.7,3219,1431.5,1787.5
9732,금남로4가역_3,29110,동구,82,17.3,2743.6,770.2,1973.4
9733,금남로4가역_4,29110,동구,62,154.3,2743.6,1048.2,1695.4
9734,문화전당역,29110,동구,56,45.7,3219,856.7,2362.3
9735,대인시장,29110,동구,66,8.6,1856.2,776.5,1079.7
9736,금남로5가역,29170,북구,46,8.6,1659.9,703.3,956.6
9737,문흥1동,29170,북구,34,52.7,789.1,396.3,392.8
9738,일곡동,29170,북구,142,1.6,733.9,168.6,565.3
9739,전남대,29170,북구,24,509.4,2305.3,1292.9,1012.4
9740,남광주시장,29110,동구,66,219.9,3803.9,640.4,3163.5
9741,양산동_1,29170,북구,277,2.8,1112.5,217.9,894.6
9742,양산동_2,29170,북구,334,0.6,1112.5,136,976.5
9743,양산동_3,29170,북구,134,2.9,2059.6,254.4,1805.2
9744,강진버스여객터미널,46810,강진군,156,10.2,1179.4,124.1,1055.3
9745,나주버스터미널,46170,나주시,78,12.4,719.8,208.8,511
9746,나주중앙로,46170,나주시,109,8.7,719.8,148.3,571.5
9747,MBC,46110,목포시,105,12.4,2646.5,624.6,2021.9
9748,동부시장,46110,목포시,199,11.9,2646.5,516.5,2130
9749,목포종합버스터미널,46110,목포시,126,16.2,3851.9,876.8,2975.1
9750,비파아파트,46110,목포시,312,10.5,3091,586.4,2504.6
9751,신흥동_2,46110,목포시,335,6.9,2427.4,670,1757.4
9752,신흥동_5,46110,목포시,216,19.2,3091,791.2,2299.8
9753,이마트,46110,목포시,242,31.2,3091,774,2317
9754,장미의거리,46110,목포시,179,6.9,2203.3,520.5,1682.8
9755,평화광장,46110,목포시,354,1.1,2427.4,485.2,1942.2
9756,하당동_1,46110,목포시,242,4.9,3786.5,485.8,3300.7
9757,하당동_4,46110,목포시,151,26.3,3851.9,849.1,3002.8
9758,무안읍,46840,무안군,223,2,964.6,87,877.6
9759,삼향읍,46840,무안군,186,2.8,1611.8,330.1,1281.7
9760,영광읍,46870,영광군,102,9.1,1779,401.1,1377.9
9761,영암군청,46830,영암군,108,2.1,381.6,64.9,316.7
9762,완도읍,46890,완도군,269,9,1120.9,217.9,903
9763,장성역,46880,장성군,124,3.3,674.5,160.8,513.7
9764,장흥군청,46800,장흥군,158,0.8,1323.8,119.5,1204.3
9765,진도읍,46900,진도군,100,5,418.7,86.2,332.5
9766,함평읍,46860,함평군,126,5.3,141.8,57.7,84.1
9767,해남군청,46820,해남군,145,47.8,1546.5,545,1001.5
9768,해남종합버스터미널,46820,해남군,52,109.4,1471.8,556.6,915.2
9769,차없는거리,46110,목포시,98,6.3,3817.5,792.8,3024.7
9770,봉산동 상권,46130,여수시,96,6.1,4175.2,1243.7,2931.5
9771,여서동,46130,여수시,88,216,4451.4,2011.5,2439.9
9773,중앙동_1,46130,여수시,48,98.4,5638.4,2017.4,3621
9774,중앙동_2,46130,여수시,34,296.4,5638.4,2452.6,3185.8
9775,학동상권,46130,여수시,68,152.8,4655.8,1691.3,2964.5
9776,흥국상가,46130,여수시,50,325.5,4655.8,2298.1,2357.7
9778,죽림지구,46130,여수시,174,1.7,1801.1,174.8,1626.3
9779,고흥읍,46770,고흥군,42,13.6,1199.5,370.5,829
9780,도양읍,46770,고흥군,59,22.7,610.6,124.7,485.9
9781,곡성군청,46720,곡성군,52,0.6,16.6,7,9.6
9782,광양읍_1,46230,광양시,133,20.1,1076.6,229.9,846.7
9783,중마동_2,46230,광양시,227,0.5,1534.5,189.7,1344.8
9784,중마동_4,46230,광양시,201,8.7,1534.5,294.3,1240.2
9785,담양여객버스터미널,46710,담양군,141,1.6,710.3,105.9,604.4
9786,덕연동,46150,순천시,81,14.7,1787.6,554,1233.6
9787,삼산동,46150,순천시,77,7.4,839.6,350.7,488.9
9788,순천만국가정원,46150,순천시,110,2.6,1283.5,202.2,1081.3
9789,순천시청,46150,순천시,72,7.8,1422.9,424.7,998.2
9790,순천역,46150,순천시,49,20.1,1892.7,581,1311.7
9791,신대지구,46150,순천시,126,1.8,876.7,110.7,766
9792,왕조1동_2,46150,순천시,156,3.7,3317.3,764.5,2552.8
9793,왕조1동_3,46150,순천시,68,45.8,1751.3,444.6,1306.7
9794,왕조2동_2,46150,순천시,92,1.5,1010.3,134.3,876
9795,중앙동,46150,순천시,38,40,1422.5,617.5,805
9796,풍덕동,46150,순천시,38,65.8,1749.5,642.4,1107.1
9797,해룡면,46150,순천시,98,1.2,1084.7,370.2,714.5
9798,화순읍,46790,화순군,90,34.6,612.4,234.9,377.5
9800,동흥동,50130,서귀포시,169,2,622.8,136.4,486.4
9801,중앙동,50130,서귀포시,152,14.1,2697.7,489.7,2208
9802,고마로,50110,제주시,32,335.9,2830.3,1142.2,1688.1
9803,대학로,50110,제주시,61,14,3928.1,1258.3,2669.8
9804,연동,50110,제주시,151,50.6,4309.7,918.8,3390.9
9805,칠성로,50110,제주시,77,28.7,2678.9,810.9,1868
9806,노형동,50110,제주시,268,4.2,1652.5,370.2,1282.3
9807,무주읍,45730,무주군,44,2.6,180.8,65.1,115.7
9808,삼례읍_1,45710,완주군,32,105.2,1682,432.3,1249.7
9809,삼례읍_2,45710,완주군,32,105.2,1682,396.1,1285.9
9810,도청앞신시가지,45111,전주시 완산구,227,10.7,4302.3,849.6,3452.7
9811,삼천3동,45111,전주시 완산구,91,14,2070.3,650.1,1420.2
9812,서곡지구,45111,전주시 완산구,90,52.5,2238.5,568.3,1670.2
9813,서신동_1,45111,전주시 완산구,53,177.3,3377.1,1123.6,2253.5
9814,서신동_2,45111,전주시 완산구,75,64.2,7180.5,1666.3,5514.2
9815,송천동메가박스,45113,전주시 덕진구,55,35.8,1122.5,391.1,731.4
9816,아중고려병원,45113,전주시 덕진구,145,18,3087.7,371.8,2715.9
9817,전북대학교,45113,전주시 덕진구,30,276.4,8893.5,3362.7,5530.8
9818,전주시청_1,45111,전주시 완산구,86,132.4,3576.1,1180.4,2395.7
9819,전주시청_2,45111,전주시 완산구,81,54.2,4450.7,1248.5,3202.2
9820,전주역,45113,전주시 덕진구,34,262.3,3125.2,1715,1410.2
9821,중앙동_1,45111,전주시 완산구,94,132.4,4450.7,1210.3,3240.4
9822,중앙동_2,45111,전주시 완산구,98,115.9,4598.5,1493,3105.5
9823,중앙동_3,45111,전주시 완산구,100,43.2,4372.3,1260.6,3111.7
9824,중화산1동,45111,전주시 완산구,100,48.8,3974,1744.5,2229.5
9825,중화산2동,45111,전주시 완산구,120,30.3,4302.3,802.5,3499.8
9826,평화2동_1,45111,전주시 완산구,42,132.2,2070.9,740.2,1330.7
9827,평화2동_2,45111,전주시 완산구,122,18.5,4041.4,698.9,3342.5
9828,풍남동_1,45111,전주시 완산구,94,35.8,4598.5,1317,3281.5
9829,풍남동_3,45111,전주시 완산구,60,115.9,4598.5,1499.8,3098.7
9830,하가지구,45113,전주시 덕진구,182,13.8,1719.9,240.1,1479.8
9831,아중역앞,45113,전주시 덕진구,358,26.7,2726.5,412,2314.5
9832,전주농산물도매시장,45113,전주시 덕진구,197,4.6,2070.6,501.5,1569.1
9833,금동,45190,남원시,92,30.2,2126.8,583.7,1543.1
9834,남원공용버스터미널,45190,남원시,30,194.6,3574.6,983.5,2591.1
9835,도통동,45190,남원시,125,4.5,1689.6,254.8,1434.8
9836,순창공용버스정류장,45770,순창군,104,4.8,313.1,76.8,236.3
9837,순창읍_3,45770,순창군,68,1.2,313.1,83.6,229.5
9838,남중동_1,45140,익산시,112,1.2,254.6,76.7,177.9
9839,모현동,45140,익산시,65,5.2,243.2,100.5,142.7
9840,삼성동,45140,익산시,162,0.7,353.5,62.7,290.8
9842,신동,45140,익산시,173,3.9,435.5,72.5,363
9843,영등1동_1,45140,익산시,98,2,279.3,71.4,207.9
9845,영등2동_2,45140,익산시,136,7.1,454.6,116.6,338
9846,영등2동_3,45140,익산시,189,5.7,454.6,84.5,370.1
9848,익산역_2,45140,익산시,82,12.6,645.5,177.6,467.9
9849,군산대학교,45130,군산시,158,3.3,1919.7,342.5,1577.2
9850,나운동,45130,군산시,358,9.7,5308.7,908.8,4399.9
9851,지곡동_2,45130,군산시,117,30.9,5308.7,755.3,4553.4
9852,지곡동_1,45130,군산시,85,16.4,5308.7,774.5,4534.2
9853,중앙동_1,45130,군산시,166,22.3,1652.2,507,1145.2
9854,중앙동_2,45130,군산시,54,107.2,3547,1019.3,2527.7
9855,수송동롯데마트_1,45130,군산시,126,11.7,3677.7,763.3,2914.4
9856,수송동롯데마트_2,45130,군산시,374,8.5,3677.7,596.4,3081.3
9859,고창공용버스터미널_1,45790,고창군,88,44.6,1423,409,1014
9860,고창공용버스터미널_2,45790,고창군,118,0.9,1423,322.2,1100.8
9861,요촌동,45210,김제시,77,105.9,5055.8,992.6,4063.2
9862,부안시외버스터미널_1,45800,부안군,142,20,1795.2,519.6,1275.6
9863,부안시외버스터미널_2,45800,부안군,112,20,1795.2,616.9,1178.3
9864,수성동_1,45180,정읍시,274,13.8,1902.7,463.9,1438.8
9865,수성동_2,45180,정읍시,129,42.1,5285.7,1261.3,4024.4
9866,정읍역,45180,정읍시,122,19,4781.4,804.5,3976.9
9867,수원버스터미널,41113,수원시 권선구,48,2.9,4565.6,843,3722.6
9868,수원시청_2,41113,수원시 권선구,66,60.6,2862.2,843.1,2019.1
9870,경희대학교국제캠퍼스,41117,수원시 영통구,48,91.8,508.9,265.5,243.4
9872,망포역_1,41117,수원시 영통구,77,15.9,1296,306.3,989.7
9873,망포역_2,41117,수원시 영통구,51,15.9,1296,403.3,892.7
9874,아주대삼거리_1,41117,수원시 영통구,23,199.3,2931.1,959.9,1971.2
9875,영통역_1,41117,수원시 영통구,48,91.8,591.8,260.2,331.6
9876,영통역_2,41117,수원시 영통구,40,115.7,733.8,319.5,414.3
9877,영통역_5,41117,수원시 영통구,32,96.1,733.8,286.1,447.7
9878,영통역_4,41117,수원시 영통구,52,35.5,759.7,327.6,432.1
9879,광교,41117,수원시 영통구,64,63.6,2077.6,438.7,1638.9
9880,샘내공원삼거리,41111,수원시 장안구,46,17.2,839.3,194.9,644.4
9881,성균관대자연과학캠퍼스,41111,수원시 장안구,66,10.2,1854.3,376.3,1478
9882,장안구청,41111,수원시 장안구,18,301,2554.7,979.3,1575.4
9883,장안문로터리_1,41111,수원시 장안구,28,187.4,1719.9,1009.6,710.3
9884,장안문로터리_2,41111,수원시 장안구,20,761.2,1719.9,1179.2,540.7
9885,정자3동주민센터,41111,수원시 장안구,50,20.7,683.6,214.4,469.2
9886,못골종합시장_1,41115,수원시 팔달구,17,285.3,1893.1,856.4,1036.7
9887,못골종합시장_2,41115,수원시 팔달구,26,122.1,1893.1,799.4,1093.7
9888,수원시청_1,41115,수원시 팔달구,72,60.6,2862.2,727.1,2135.1
9889,수원시청_3,41115,수원시 팔달구,47,178.5,3736.2,1152.7,2583.5
9890,수원시청_4,41115,수원시 팔달구,71,83,4474.9,1327.7,3147.2
9891,수원역,41115,수원시 팔달구,56,26.8,3261.5,1407.2,1854.3
9893,아주대삼거리_2,41117,수원시 영통구,28,199.3,2931.1,1058,1873.1
9894,아주대삼거리_3,41117,수원시 영통구,34,199.3,2931.1,944.3,1986.8
9895,팔달문로터리_1,41115,수원시 팔달구,48,34.6,2329.7,831,1498.7
9896,팔달문로터리_2,41115,수원시 팔달구,39,20.5,2329.7,806.1,1523.6
9897,팔달문로터리_3,41115,수원시 팔달구,62,1.2,2329.7,722.8,1606.9
9910,상현역,41465,용인시 수지구,10,172.3,662.6,463.4,199.2
9911,안성시장,41550,안성시,117,1.1,773.5,149.3,624.2
9912,서정리역,41220,평택시,40,45.1,841.2,431.2,410
9913,소사벌지구,41220,평택시,113,1.9,499.4,128.7,370.7
9914,송탄국제중앙시장,41220,평택시,68,3.8,762.5,268.2,494.3
9915,송탄출장소앞,41220,평택시,42,64.5,936.1,413.1,523
9916,안중시장삼거리,41220,평택시,91,3.5,559.3,93.2,466.1
9917,평택시청_1,41220,평택시,70,1.3,344.6,92.5,252.1
9918,평택시청_2,41220,평택시,115,1.4,434.7,88.4,346.3
9919,평택역_1,41220,평택시,76,54.9,1470.6,507.9,962.7
9920,평택역_2,41220,평택시,84,1.8,1470.6,408.2,1062.4
9921,평택역_3,41220,평택시,82,50.3,1349.1,361.3,987.8
9922,포승도곡근린공원,41220,평택시,162,0.4,144.9,14,130.9
9923,공도읍_1,41550,안성시,99,2,390.9,83.1,307.8
9924,오산시청,41370,오산시,72,12.4,559.2,199.3,359.9
9925,오산역,41370,오산시,74,10.8,565.1,206.1,359
9926,동탄센트럴파크_1,41590,화성시,70,53.7,2480.2,371.4,2108.8
9927,동탄센트럴파크_2,41590,화성시,276,0.3,2480.2,76.8,2403.4
9928,반월동상점가,41117,수원시 영통구,103,6,687.4,176.1,511.3
9929,발안사거리,41590,화성시,104,0.4,287.4,92.9,194.5
9930,병점중심상가,41590,화성시,392,0.6,709.7,76.8,632.9
9931,조암버스터미널,41590,화성시,90,1.1,194.8,28.4,166.4
9932,향남신도시,41590,화성시,75,6.3,258,48.9,209.1
9934,수원대앞,41590,화성시,62,7.6,394.3,128,266.3
9935,남양시장,41590,화성시,92,0.3,306.3,56.5,249.8
9936,사강시장,41590,화성시,46,5.2,176.2,56.1,120.1
9937,오산오색시장,41370,오산시,18,115.1,804.6,363.1,441.5
9938,병점역,41590,화성시,225,0.6,1978.9,174.4,1804.5
9939,광명사거리역,41210,광명시,18,43.5,1994.4,1046.3,948.1
9940,철산역,41210,광명시,43,7.2,1767.9,497.6,1270.3
9941,하안사거리,41210,광명시,38,20.6,661,302.6,358.4
9942,비둘기공원앞,41390,시흥시,131,0.9,343.1,94.8,248.3
9943,삼미시장,41390,시흥시,78,9.1,906.2,193.8,712.4
9944,시흥시평생학습센터앞,41390,시흥시,88,4.4,225,73.6,151.4
9945,오이도해양단지,41390,시흥시,324,1.9,400.6,37.4,363.2
9946,유천아파트앞,41390,시흥시,94,6.9,595.4,133.4,462
9947,유통상가사거리,41390,시흥시,58,3.8,276.9,57.1,219.8
9948,이마트시화점사거리,41390,시흥시,150,21.6,770.4,174.5,595.9
9949,정왕동옥구상가,41390,시흥시,92,14.2,487.7,117.5,370.2
9950,정왕시장,41390,시흥시,53,55,523.6,232.7,290.9
9951,소화상업지구,41210,광명시,46,20.7,1081.4,199.8,881.6
9952,곤지암시외버스터미널,41610,광주시,84,0.6,99.5,29.4,70.1
9953,광주종합터미널,41610,광주시,303,1.4,953.1,155.7,797.4
9954,미금역_1,41135,성남시 분당구,64,11.2,1080.9,247.1,833.8
9955,미금역_2,41135,성남시 분당구,64,11.2,1314.9,306.6,1008.3
9956,미금역_3,41135,성남시 분당구,47,11.2,1080.9,331,749.9
9957,미금역_4,41135,성남시 분당구,54,23.8,1314.9,359.9,955
9958,서현역,41135,성남시 분당구,149,15.3,2043.8,398.7,1645.1
9959,수내역,41135,성남시 분당구,92,7,2521.1,459.5,2061.6
9960,야탑역_1,41135,성남시 분당구,102,26.3,1331.2,463.8,867.4
9961,야탑역_2,41135,성남시 분당구,96,19.9,1331.2,455.2,876
9962,오리역_1,41135,성남시 분당구,58,23.3,661.5,204.5,457
9963,오리역_2,41135,성남시 분당구,52,6.1,661.5,171.8,489.7
9964,정자역,41135,성남시 분당구,72,62.8,1558.2,404.7,1153.5
9965,카페거리,41135,성남시 분당구,50,18.4,1558.2,325.2,1233
9966,판교테크벨리,41135,성남시 분당구,74,37.5,3645.7,511,3134.7
9967,성남시민회관앞,41131,성남시 수정구,26,748.6,3636.2,1676,1960.2
9968,신흥역_1,41133,성남시 중원구,14,355.6,3636.2,1590.4,2045.8
9969,신흥역_2,41131,성남시 수정구,7,874.4,3209.3,1556.3,1653
9970,모란역_1,41133,성남시 중원구,42,10.3,3427.5,1312.1,2115.4
9971,모란역_2,41133,성남시 중원구,43,10.3,3427.5,1286.4,2141.1
9972,양평역_1,41830,양평군,46,25.1,1548.1,350.7,1197.4
9973,양평역_2,41830,양평군,58,8,1548.1,297.8,1250.3
9974,양평역_3,41830,양평군,70,12,1548.1,295.9,1252.2
9975,용문역,41830,양평군,70,9.3,173.9,53.8,120.1
9976,여주군청,41670,여주시,52,4.9,348.7,120.3,228.4
9977,여주군청_2,41670,여주시,137,1.7,348.7,86.2,262.5
9978,이천종합터미널_1,41500,이천시,85,6.8,1520.1,420.3,1099.8
